name,lat,lon,city,type,address,type_of_place,distance_from_company
Fabric,51.51962,-0.10252,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.51962, -0.10252]}}","77A Charterhouse St (Cowcross St), London, Greater London, EC1M 6HJ",Night Club,4.15796954853175
Bankside Vaults,51.507026,-0.104687,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.507026, -0.104687]}}","1 Invicta Plaza, London, SE1 9UF",Night Club,4.230891584462889
Electrowerkz,51.532262,-0.105177,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.532262, -0.105177]}}","7 Torrens St, London, Greater London, EC1V 1NQ",Night Club,4.230303804841533
Boston Music Room,51.557153,-0.138446,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.557153, -0.138446]}}","178 Junction Rd, London, Greater London, N19 5QQ",Night Club,4.538629917813022
Under the Bridge,51.481527,-0.191123,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.481527, -0.191123]}}","Stamford Bridge, Fulham Rd (Fulham Rd.), Fulham, Greater London, SW6 1HS",Night Club,4.631129749116747
Embargo Night Club,51.480169,-0.185447,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.480169, -0.185447]}}","533b King's Rd, Chelsea, Greater London, SW10 0TZ",Night Club,4.619415355742686
The Nomad,51.524095,-0.095767,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.524095, -0.095767]}}","58 Old St (Golden Ln), London, Greater London, EC1V 9AJ",Night Club,4.656598053038978
Fire,51.484565,-0.12365,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.484565, -0.12365]}}","39 Parry St (South Lambeth Rd), London, Greater London, SW8 1RT",Night Club,4.70192277194321
606 Club,51.478454,-0.181636,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.478454, -0.181636]}}","90 Lots Rd, London, Greater London, SW10 0QD",Night Club,4.718735902116794
Eagle London,51.486225,-0.119346,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.486225, -0.119346]}}","349 Kennington Lane, London, Greater London, SE11 5QY",Night Club,4.734494390610851
Popworld Watling Street,51.513057,-0.0947,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.513057, -0.0947]}}","17 Watling St, London, Greater London, EC4M 9BB",Night Club,4.748578980605562
The Hoist,51.484716,-0.121544,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.484716, -0.121544]}}","32 Vauxhall Grove, London, SW8 1SY",Night Club,4.773516537223102
Ministry of Sound,51.497637,-0.099503,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.497637, -0.099503]}}","103 Gaunt St, London, Greater London, SE1 6DP",Night Club,4.9826092141492015
The Steelyard,51.510136,-0.090236,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.510136, -0.090236]}}","Allhallow St, London, Greater London, EC4R 3UL",Night Club,5.1086773530330385
Belushi's,51.502973,-0.09168,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.502973, -0.09168]}}","161-165 Borough High St, Bridge, Greater London, SE1 1HR",Night Club,5.229929367759966
Hope Montessori Nursery School,51.518239,-0.172147,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.518239, -0.172147]}}","11a, West End Quay, London, Greater London, W2 1JB",Nursery School,0.6685357043933544
Marylebone Village Nursery School,51.517797,-0.152538,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.517797, -0.152538]}}","22 George St, London, Greater London, W1U 3QY",Nursery School,0.7142769750292646
Imperial College Early Years Education Centre,51.500012,-0.173136,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.500012, -0.173136]}}","8 Princes Gardens, London, Greater London",Nursery School,2.254975947993332
Southbank International School,51.549171,-0.179382,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.549171, -0.179382]}}","16 Netherhall Gardens, London, Greater London, NW3 5TH",Nursery School,3.528323972461935
London Early Years Foundation,51.493039,-0.128753,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.493039, -0.128753]}}","121 Marsham St, Millbank, Greater London, SW1P 4LX",Nursery School,3.735764343140914
Swiss Cottage School,51.541995,-0.210322,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.541995, -0.210322]}}","5-7 The Ave, Brent, Greater London, NW6 7YG",Nursery School,4.161132041444572
Hopes & Dreams,51.531108,-0.102032,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.531108, -0.102032]}}","339-341 City Rd, London, Greater London, EC1V 1LJ",Nursery School,4.3950070740066325
Hatching Dragons,51.518113,-0.096477,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.518113, -0.096477]}}","Ironmongers Hall Shaftesbury Pl, Barbican, London, Greater London, EC2Y 8AA",Nursery School,4.577518238346445
Hatching Dragons,51.522868,-0.093033,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.522868, -0.093033]}}","1 Viscount St, London, Greater London, EC1Y 0AA",Nursery School,4.831164365951562
Pippa Pop-Ins,51.480375,-0.191456,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.480375, -0.191456]}}","430 Fulham Rd, London, SW6 1DU",Nursery School,4.756965133227275
Packington Square,51.53449,-0.096675,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.53449, -0.096675]}}",,Nursery School,4.867779059862684
Little Garden Hammersmith Day Nursery,51.499844,-0.226354,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.499844, -0.226354]}}","50 Richfield Gate, London, Greater London, W6 7HZ",Nursery School,4.908694803265076
